tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.36522745146451463,33,17.37833642544939,2.877751350402832,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.73357391357422,54.898895263671875,-75.31633758544922,54.433868408203125,14,LEFT,True,0.5585632627865791
2,0.5459158965064693,35,17.265076152874308,1.4425362348556519,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.85784149169922,55.02735900878906,-75.41617584228516,54.42817306518555,14,LEFT,True,0.5585632627865791
3,0.5585632627865791,38,17.117668370599187,1.550573468208313,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.00589752197266,55.02839279174805,-75.56593322753906,54.41963195800781,14,LEFT,True,0.5585632627865791
4,0.545732209580502,41,16.954971145477398,1.6938197612762451,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.16807556152344,55.01535415649414,-75.71569061279297,54.41109085083008,14,LEFT,True,0.5585632627865791
5,0.5276747862446187,45,16.77834301900086,1.8296394348144531,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.34391784667969,54.998661041259766,-75.91536712646484,54.39970397949219,14,LEFT,True,0.5585632627865791
6,0.5073491677310216,49,16.588406215915438,1.9602664709091187,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.53289794921875,54.97943115234375,-76.11504364013672,54.38831329345703,14,LEFT,True,0.5585632627865791
7,0.48450053378845265,53,16.385617108965032,2.087064027786255,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.73454284667969,54.95748519897461,-76.31471252441406,54.37692642211914,14,LEFT,True,0.5585632627865791
8,0.45879020125161607,57,16.17037331606366,2.2105250358581543,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.94843292236328,54.93257141113281,-76.51438903808594,54.36553955078125,14,LEFT,True,0.5585632627865791
9,0.4389102246220867,62,15.942740412533057,2.33162784576416,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.17488098144531,54.90904998779297,-76.76398468017578,54.35130310058594,14,LEFT,True,0.5585632627865791
10,0.42074632990050614,66,15.70317400112813,2.449183702468872,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.41322326660156,54.88454818725586,-76.96366119384766,54.33991241455078,14,LEFT,True,0.5585632627865791
11,0.40071386765454214,71,15.452035032751045,2.5637800693511963,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.6629867553711,54.8577766418457,-77.2132568359375,54.325679779052734,14,LEFT,True,0.5585632627865791
12,0.3785825002807759,76,15.18963781346564,2.6754558086395264,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.92384338378906,54.82857131958008,-77.46285247802734,54.31144332885742,14,LEFT,True,0.5585632627865791
13,0.35420094901980204,82,14.916269039068101,2.784242868423462,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.19549560546875,54.796791076660156,-77.76235961914062,54.29436111450195,14,LEFT,True,0.5585632627865791
14,0.3274227587002154,88,14.632255787200828,2.890165328979492,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.47760772705078,54.76231002807617,-78.06187438964844,54.277278900146484,14,LEFT,True,0.5585632627865791
15,0.3049852506998412,93,14.337696533272723,2.993424892425537,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.77037048339844,54.72854995727539,-78.31147003173828,54.26304244995117,14,LEFT,True,0.5585632627865791
16,0.2840920177255448,99,14.032970112052965,3.093803644180298,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.07327270507812,54.69396209716797,-78.6109848022461,54.2459602355957,14,LEFT,True,0.5585632627865791
17,0.2619162861975296,106,13.718380330169751,3.1914162635803223,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.38593292236328,54.65760803222656,-78.96041870117188,54.22603225708008,14,LEFT,True,0.5585632627865791
18,0.23830840229946773,112,13.394216008199093,3.286310911178589,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.70805358886719,54.61935806274414,-79.25992584228516,54.208946228027344,14,LEFT,True,0.5585632627865791
19,0.21837397564636538,119,13.060680740579645,3.3783676624298096,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.0396499633789,54.58190155029297,-79.60935974121094,54.18901824951172,14,LEFT,True,0.5585632627865791
20,0.2001782263887401,126,12.718053885624158,3.467987060546875,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.38035583496094,54.54419708251953,-79.95879364013672,54.169090270996094,14,LEFT,True,0.5585632627865791
21,0.18160699236885924,133,12.366624265399055,3.5550336837768555,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.72982788085938,54.50556945800781,-80.3082275390625,54.1491584777832,14,LEFT,True,0.5585632627865791
22,0.1625884841775755,140,12.006636400775886,3.6395552158355713,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.08782196044922,54.46601486206055,-80.65766143798828,54.12923049926758,14,LEFT,True,0.5585632627865791
23,0.14312628868118715,147,11.638343911488294,3.7216081619262695,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-79.45408630371094,54.42554473876953,-81.00708770751953,54.10929870605469,14,LEFT,True,0.5585632627865791
