failure_type,max_cte,max_cte_tick,completed_turn,hit_obstacle,continued_straight,continued_left,continued_right,reached_waypoint,min_speed,min_distance_to_alternative,min_distance_to_left,min_distance_to_right,min_distance_to_finish,min_speed_after_start,run_id,command_tested,tick_delay,command_duration,csv_file
hit_obstacle,"0      1.826692
1      1.826692
2      1.826692
3      1.826692
4      1.826692
         ...   
115    1.826692
116    1.826692
117    1.826692
118    1.826692
119    1.826692
Name: max_cte_during_run, Length: 120, dtype: float64",79,False,True,False,False,False,False,0.0257923882454633,13.501109817092589,7.458227477508332,15.143666697759052,7.458227477508332,0.0257923882454633,2,LEFT,0,1,run_1.csv
hit_obstacle,"0      3.600798
1      3.600798
2      3.600798
3      3.600798
4      3.600798
         ...   
115    3.600798
116    3.600798
117    3.600798
118    3.600798
119    3.600798
Name: max_cte_during_run, Length: 120, dtype: float64",88,False,True,False,False,False,False,0.0008224858902394,12.083089478685876,9.238394636628922,15.466757485765758,9.238394636628922,0.0008224858902394,3,LEFT,0,2,run_1.csv
hit_obstacle,"0      1.690205
1      1.690205
2      1.690205
3      1.690205
4      1.690205
         ...   
115    1.690205
116    1.690205
117    1.690205
118    1.690205
119    1.690205
Name: max_cte_during_run, Length: 120, dtype: float64",92,False,True,False,False,False,False,0.0282599069178104,14.06495932420802,3.509545609982126,15.16368317753972,3.509545609982126,0.0282599069178104,4,LEFT,0,3,run_1.csv
hit_obstacle,"0      1.710249
1      1.710249
2      1.710249
3      1.710249
4      1.710249
         ...   
115    1.710249
116    1.710249
117    1.710249
118    1.710249
119    1.710249
Name: max_cte_during_run, Length: 120, dtype: float64",90,False,True,False,False,False,False,0.0184892155230045,14.4736045700536,4.066754386860048,15.173900910561443,4.066754386860048,0.0184892155230045,5,LEFT,0,4,run_1.csv
hit_obstacle,"0      1.721668
1      1.721668
2      1.721668
3      1.721668
4      1.721668
         ...   
115    1.721668
116    1.721668
117    1.721668
118    1.721668
119    1.721668
Name: max_cte_during_run, Length: 120, dtype: float64",89,False,True,False,False,False,False,0.0233099423348903,14.332310940921205,5.06021173874432,15.234165969852732,5.06021173874432,0.0233099423348903,6,LEFT,0,5,run_1.csv
hit_obstacle,"0      1.689774
1      1.689774
2      1.689774
3      1.689774
4      1.689774
         ...   
115    1.689774
116    1.689774
117    1.689774
118    1.689774
119    1.689774
Name: max_cte_during_run, Length: 120, dtype: float64",86,False,True,False,False,False,False,0.0262759588658809,14.48854963946154,3.498601284661601,15.145119155363558,3.498601284661601,0.0262759588658809,9,LEFT,0,8,run_1.csv
hit_obstacle,"0      1.696198
1      1.696198
2      1.696198
3      1.696198
4      1.696198
         ...   
115    1.696198
116    1.696198
117    1.696198
118    1.696198
119    1.696198
Name: max_cte_during_run, Length: 120, dtype: float64",92,False,True,False,False,False,False,0.0306589007377624,14.40658626746091,3.7885867121460244,15.307434024249227,3.7885867121460244,0.0306589007377624,10,LEFT,0,9,run_1.csv
hit_obstacle,"0      1.632463
1      1.632463
2      1.632463
3      1.632463
4      1.632463
         ...   
115    1.632463
116    1.632463
117    1.632463
118    1.632463
119    1.632463
Name: max_cte_during_run, Length: 120, dtype: float64",95,True,True,False,True,False,True,0.0470173172652721,14.815642928815583,1.3697815248213803,15.177685099969288,1.3697815248213803,0.0470173172652721,11,LEFT,0,10,run_1.csv
hit_obstacle,"0      1.589178
1      1.589178
2      1.589178
3      1.589178
4      1.589178
         ...   
115    1.589178
116    1.589178
117    1.589178
118    1.589178
119    1.589178
Name: max_cte_during_run, Length: 120, dtype: float64",97,True,True,False,True,False,True,0.009998083114624,14.730084713313293,1.3297642549171103,15.293297971669315,1.3297642549171103,0.009998083114624,12,LEFT,0,11,run_1.csv
hit_obstacle,"0      1.711487
1      1.711487
2      1.711487
3      1.711487
4      1.711487
         ...   
115    1.711487
116    1.711487
117    1.711487
118    1.711487
119    1.711487
Name: max_cte_during_run, Length: 120, dtype: float64",85,False,True,False,False,False,False,0.0068132826127111,14.299285278792517,4.392600839871539,15.029362626552363,4.392600839871539,0.0068132826127111,15,LEFT,0,14,run_1.csv
hit_obstacle,"0      1.648332
1      1.648332
2      1.648332
3      1.648332
4      1.648332
         ...   
115    1.648332
116    1.648332
117    1.648332
118    1.648332
119    1.648332
Name: max_cte_during_run, Length: 120, dtype: float64",94,False,True,False,False,False,False,0.0518723279237747,14.608276818372504,2.0786145466126786,15.157585892933632,2.0786145466126786,0.0518723279237747,16,LEFT,0,15,run_1.csv
hit_obstacle,"0      1.710657
1      1.710657
2      1.710657
3      1.710657
4      1.710657
         ...   
115    1.710657
116    1.710657
117    1.710657
118    1.710657
119    1.710657
Name: max_cte_during_run, Length: 120, dtype: float64",85,False,True,False,False,False,False,0.0085697155445814,14.400377917629019,4.453737608851987,15.051705422654354,4.453737608851987,0.0085697155445814,19,LEFT,0,18,run_1.csv
