tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,-0.33102267610721253,33,17.39100732578985,2.4331259727478027,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.6793212890625,54.18037796020508,-75.31633758544922,54.433868408203125,3,RIGHT,True,1.003498723133057
2,-0.4570163998557286,35,17.287464401523536,1.265478253364563,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.7793960571289,54.077205657958984,-75.41617584228516,54.42817306518555,3,RIGHT,True,1.003498723133057
3,-0.45676768381705696,38,17.147708769853608,1.477077603340149,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.9189224243164,54.06767272949219,-75.56593322753906,54.41963195800781,3,RIGHT,True,1.003498723133057
4,-0.4471036947315954,41,16.9868931349377,1.6575877666473389,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.07964324951172,54.0621223449707,-75.71569061279297,54.41109085083008,3,RIGHT,True,1.003498723133057
5,-0.4362978641830452,44,16.80977664230692,1.8108646869659424,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.25667572021484,54.05666732788086,-75.86544799804688,54.402549743652344,3,RIGHT,True,1.003498723133057
6,-0.42439293320585764,48,16.61808472049156,1.9530704021453857,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.44829559326172,54.05137252807617,-76.06511688232422,54.39116287231445,3,RIGHT,True,1.003498723133057
7,-0.4111565216267524,52,16.412638729721994,2.0892317295074463,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.6536865234375,54.046409606933594,-76.2647933959961,54.3797721862793,3,RIGHT,True,1.003498723133057
8,-0.3963719879032542,56,16.193956106506572,2.220960855484009,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.8723373413086,54.0419807434082,-76.46446990966797,54.368385314941406,3,RIGHT,True,1.003498723133057
9,-0.37985293360870914,61,15.962461851958471,2.3488216400146484,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.10382843017578,54.03824996948242,-76.71406555175781,54.354148864746094,3,RIGHT,True,1.003498723133057
10,-0.36144661819961227,66,15.718528568961089,2.4731361865997314,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.34779357910156,54.035400390625,-76.96366119384766,54.33991241455078,3,RIGHT,True,1.003498723133057
11,-0.3410539408976058,71,15.46265019767993,2.591599464416504,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.60374450683594,54.03357696533203,-77.2132568359375,54.325679779052734,3,RIGHT,True,1.003498723133057
12,-0.3182160562004645,76,15.197508199871924,2.681635856628418,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.86900329589844,54.032875061035156,-77.46285247802734,54.31144332885742,3,RIGHT,True,1.003498723133057
13,-0.2930942699606251,82,14.922680404854098,2.7840030193328857,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.14400482177734,54.03359603881836,-77.76235961914062,54.29436111450195,3,RIGHT,True,1.003498723133057
14,-0.2655349734736951,87,14.637590880565224,2.8889434337615967,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.42933654785156,54.03595733642578,-78.01195526123047,54.28012466430664,3,RIGHT,True,1.003498723133057
15,-0.24239470735677654,93,14.342038555927944,2.992715835571289,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.72508239746094,54.03645706176758,-78.31147003173828,54.26304244995117,3,RIGHT,True,1.003498723133057
16,-0.22068278595228083,99,14.03630883178799,3.0941832065582275,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.03101348876953,54.036766052246094,-78.6109848022461,54.2459602355957,3,RIGHT,True,1.003498723133057
