command_tested,tick_delay,command_duration,success
RIGHT,0,0,1.0
RIGHT,0,1,0.0
RIGHT,0,2,1.0
RIGHT,0,3,0.0
RIGHT,0,4,0.0
RIGHT,0,5,0.0
RIGHT,0,6,1.0
RIGHT,0,7,1.0
RIGHT,0,8,1.0
RIGHT,0,9,1.0
RIGHT,0,10,1.0
RIGHT,0,11,1.0
RIGHT,0,12,1.0
RIGHT,0,13,1.0
RIGHT,0,14,1.0
RIGHT,0,15,1.0
RIGHT,0,16,1.0
RIGHT,0,17,1.0
RIGHT,0,18,1.0
RIGHT,0,19,1.0
RIGHT,0,20,1.0
RIGHT,0,21,1.0
RIGHT,0,22,1.0
RIGHT,0,23,1.0
RIGHT,0,24,1.0
RIGHT,0,25,1.0
RIGHT,0,26,1.0
RIGHT,0,27,1.0
RIGHT,0,28,1.0
RIGHT,0,29,1.0
RIGHT,0,30,1.0
RIGHT,1,0,1.0
RIGHT,1,1,1.0
RIGHT,1,2,0.0
RIGHT,1,3,0.0
RIGHT,1,4,1.0
RIGHT,1,5,1.0
RIGHT,1,6,1.0
RIGHT,1,7,1.0
RIGHT,1,8,1.0
RIGHT,1,9,1.0
RIGHT,1,10,1.0
RIGHT,1,11,1.0
RIGHT,1,12,1.0
RIGHT,1,13,1.0
RIGHT,1,14,1.0
RIGHT,1,15,1.0
RIGHT,1,16,1.0
RIGHT,1,17,1.0
RIGHT,1,18,1.0
RIGHT,1,19,1.0
RIGHT,1,20,1.0
RIGHT,1,21,1.0
RIGHT,1,22,1.0
RIGHT,1,23,1.0
RIGHT,1,24,1.0
RIGHT,1,25,1.0
RIGHT,1,26,1.0
RIGHT,1,27,1.0
RIGHT,1,28,1.0
RIGHT,1,29,1.0
RIGHT,1,30,1.0
RIGHT,2,0,1.0
RIGHT,2,1,0.0
RIGHT,2,2,1.0
RIGHT,2,3,1.0
RIGHT,2,4,1.0
RIGHT,2,5,1.0
RIGHT,2,6,1.0
RIGHT,2,7,1.0
RIGHT,2,8,1.0
RIGHT,2,9,1.0
RIGHT,2,10,1.0
RIGHT,2,11,1.0
RIGHT,2,12,1.0
RIGHT,2,13,1.0
RIGHT,2,14,1.0
RIGHT,2,15,1.0
RIGHT,2,16,1.0
RIGHT,2,17,1.0
RIGHT,2,18,1.0
RIGHT,2,19,1.0
RIGHT,2,20,1.0
RIGHT,2,21,1.0
RIGHT,2,22,1.0
RIGHT,2,23,1.0
RIGHT,2,24,1.0
RIGHT,2,25,1.0
RIGHT,2,26,1.0
RIGHT,2,27,1.0
RIGHT,2,28,1.0
RIGHT,2,29,1.0
RIGHT,2,30,1.0
RIGHT,3,0,1.0
RIGHT,3,1,0.0
RIGHT,3,2,0.0
RIGHT,3,3,0.0
RIGHT,3,4,1.0
RIGHT,3,5,1.0
RIGHT,3,6,1.0
RIGHT,3,7,1.0
RIGHT,3,8,1.0
RIGHT,3,9,1.0
RIGHT,3,10,1.0
RIGHT,3,11,1.0
RIGHT,3,12,1.0
RIGHT,3,13,1.0
RIGHT,3,14,1.0
RIGHT,3,15,1.0
RIGHT,3,16,1.0
RIGHT,3,17,1.0
RIGHT,3,18,1.0
RIGHT,3,19,1.0
RIGHT,3,20,1.0
RIGHT,3,21,1.0
RIGHT,3,22,1.0
RIGHT,3,23,1.0
RIGHT,3,24,1.0
RIGHT,3,25,1.0
RIGHT,3,26,1.0
RIGHT,3,27,1.0
RIGHT,3,28,1.0
RIGHT,3,29,1.0
RIGHT,3,30,1.0
RIGHT,4,0,1.0
RIGHT,4,1,1.0
RIGHT,4,2,0.0
RIGHT,4,3,1.0
RIGHT,4,4,0.0
RIGHT,4,5,0.0
RIGHT,4,6,1.0
RIGHT,4,7,1.0
RIGHT,4,8,1.0
RIGHT,4,9,1.0
RIGHT,4,10,1.0
RIGHT,4,11,1.0
RIGHT,4,12,1.0
RIGHT,4,13,1.0
RIGHT,4,14,1.0
RIGHT,4,15,0.0
RIGHT,4,16,1.0
RIGHT,4,17,1.0
RIGHT,4,18,1.0
RIGHT,4,19,1.0
RIGHT,4,20,1.0
RIGHT,4,21,1.0
RIGHT,4,22,1.0
RIGHT,4,23,1.0
RIGHT,4,24,1.0
RIGHT,4,25,1.0
RIGHT,4,26,1.0
RIGHT,4,27,1.0
RIGHT,4,28,1.0
RIGHT,4,29,1.0
RIGHT,4,30,1.0
RIGHT,5,0,1.0
RIGHT,5,1,1.0
RIGHT,5,2,0.0
RIGHT,5,3,0.0
RIGHT,5,4,0.0
RIGHT,5,5,1.0
RIGHT,5,6,1.0
RIGHT,5,7,1.0
RIGHT,5,8,1.0
RIGHT,5,9,1.0
RIGHT,5,10,0.0
RIGHT,5,11,1.0
RIGHT,5,12,1.0
RIGHT,5,13,1.0
RIGHT,5,14,1.0
RIGHT,5,15,1.0
RIGHT,5,16,1.0
RIGHT,5,17,1.0
RIGHT,5,18,1.0
RIGHT,5,19,1.0
RIGHT,5,20,1.0
RIGHT,5,21,1.0
RIGHT,5,22,1.0
RIGHT,5,23,1.0
RIGHT,5,24,1.0
RIGHT,5,25,1.0
RIGHT,5,26,1.0
RIGHT,5,27,1.0
RIGHT,5,28,1.0
RIGHT,5,29,1.0
RIGHT,5,30,1.0
RIGHT,6,0,1.0
RIGHT,6,1,0.0
RIGHT,6,2,0.0
RIGHT,6,3,0.0
RIGHT,6,4,1.0
