run_id,command_tested,tick_delay,command_duration,junction_command_applied,early_command_applied,command_released,success,max_cte,waypoint_deviation
1,LEFT,0,0,True,False,False,True,0.20501528393365628,
2,LEFT,0,1,True,False,True,False,25.571381842688307,
3,LEFT,0,2,True,False,True,False,32.86144422194119,
4,LEFT,0,3,True,False,True,False,32.88654163291355,
5,LEFT,0,4,True,False,True,False,32.84565424185114,
6,LEFT,0,5,True,False,True,True,1.1825275658597272,
7,LEFT,0,6,True,False,True,False,3.397982763450456,
8,LEFT,0,7,True,False,True,False,23.24865130027224,
9,LEFT,0,8,True,False,True,False,32.95236095310196,
10,LEFT,0,9,True,False,True,False,32.95748708114448,
11,LEFT,0,10,True,False,True,False,32.89681314891148,
12,LEFT,0,11,True,False,True,False,32.91000287118995,
13,LEFT,0,12,True,False,True,False,32.98364872465006,
14,LEFT,0,13,True,False,True,False,32.85671696282006,
15,LEFT,0,14,True,False,True,False,1.7423843095841907,
16,LEFT,0,15,True,False,True,False,2.1231881134473922,
17,LEFT,0,16,True,False,True,True,1.1671122132234746,
18,LEFT,0,17,True,False,True,False,1.7293310543172309,
19,LEFT,0,18,True,False,True,False,1.3172147299635983,
20,LEFT,0,19,True,False,True,True,1.2064253301169274,
21,LEFT,0,20,True,False,True,True,1.1362184893428966,
22,LEFT,0,21,True,False,True,True,1.0875899172211323,
23,LEFT,0,22,True,False,True,True,1.1980045871248712,
24,LEFT,0,23,True,False,True,True,1.1230316466302,
25,LEFT,0,24,True,False,True,True,1.1610170966749347,
26,LEFT,0,25,True,False,True,True,1.1267811534502603,
27,LEFT,0,26,True,False,True,True,1.1923266590897266,
28,LEFT,0,27,True,False,True,False,1.2576914434274136,
29,LEFT,0,28,True,False,True,True,0.8356726690200101,
30,LEFT,0,29,True,False,True,True,0.8183193256681135,
31,LEFT,0,30,True,False,True,True,0.555551850063879,
32,LEFT,1,0,True,False,False,True,0.6059766573155795,
33,LEFT,1,1,True,False,True,False,24.947794488796195,
34,LEFT,1,2,True,False,True,True,1.055080298040264,
35,LEFT,1,3,True,False,True,False,26.38855572278221,
36,LEFT,1,4,True,False,True,False,32.92052049295727,
37,LEFT,1,5,True,False,True,True,1.1142257400785065,
38,LEFT,1,6,True,False,True,False,26.609908169255878,
39,LEFT,1,7,True,False,True,False,32.96357449418664,
40,LEFT,1,8,True,False,True,False,32.92526475309636,
41,LEFT,1,9,True,False,True,False,32.80828201947959,
42,LEFT,1,10,True,False,True,False,32.88442849380352,
43,LEFT,1,11,True,False,True,False,32.78613350623786,
44,LEFT,1,12,True,False,True,False,32.85436614772186,
45,LEFT,1,13,True,False,True,False,1.727921439596394,
46,LEFT,1,14,True,False,True,False,1.7388952384348118,
47,LEFT,1,15,True,False,True,False,1.8708042682175827,
48,LEFT,1,16,True,False,True,True,1.3029031574166634,
49,LEFT,1,17,True,False,True,False,1.612394526377687,
50,LEFT,1,18,True,False,True,True,1.188502361818831,
51,LEFT,1,19,True,False,True,True,1.0984381827624548,
52,LEFT,1,20,True,False,True,True,1.0747164471894828,
53,LEFT,1,21,True,False,True,True,1.1290209743695934,
54,LEFT,1,22,True,False,True,True,1.127927188025481,
55,LEFT,1,23,True,False,True,True,1.0835934705862922,
56,LEFT,1,24,True,False,True,True,1.0620238656945802,
57,LEFT,1,25,True,False,True,True,1.0474495429615172,
58,LEFT,1,26,True,False,True,True,0.9082011466968549,
59,LEFT,1,27,True,False,True,True,0.8378443360007214,
60,LEFT,1,28,True,False,True,True,0.8292242194414495,
61,LEFT,1,29,True,False,True,True,0.7126602066099981,
62,LEFT,1,30,True,False,True,True,0.5677017182178876,
63,LEFT,2,0,True,False,False,True,0.5417580090600529,
64,LEFT,2,1,True,False,True,True,1.0694964259191324,
65,LEFT,2,2,True,False,True,False,26.606391092895446,
66,LEFT,2,3,True,False,True,True,1.1949566337770612,
67,LEFT,2,4,True,False,True,False,26.175859298014746,
68,LEFT,2,5,True,False,True,False,32.97131104990031,
69,LEFT,2,6,True,False,True,False,32.94750223613551,
70,LEFT,2,7,True,False,True,False,32.91417423743995,
71,LEFT,2,8,True,False,True,False,32.83584149019551,
72,LEFT,2,9,True,False,True,False,32.928412608424495,
73,LEFT,2,10,True,False,True,False,32.925745388567336,
74,LEFT,2,11,True,False,True,False,32.875957665003156,
75,LEFT,2,12,True,False,True,False,32.44729113376694,
76,LEFT,2,13,True,False,True,True,1.1273995331558062,
77,LEFT,2,14,True,False,True,False,24.443855377643402,
78,LEFT,2,15,True,False,True,True,1.129929882413637,
79,LEFT,2,16,True,False,True,True,1.1666675038053238,
80,LEFT,2,17,True,False,True,True,1.0704188547942164,
81,LEFT,2,18,True,False,True,True,1.1275305155593505,
82,LEFT,2,19,True,False,True,True,1.0678135942175695,
83,LEFT,2,20,True,False,True,True,1.0499899766726075,
84,LEFT,2,21,True,False,True,True,1.1248256211706944,
85,LEFT,2,22,True,False,True,True,1.1604700882407406,
86,LEFT,2,23,True,False,True,True,1.1302515894146126,
87,LEFT,2,24,True,False,True,False,1.2550212900467406,
88,LEFT,2,25,True,False,True,True,0.7143325842611847,
89,LEFT,2,26,True,False,True,True,0.8133322929462308,
90,LEFT,2,27,True,False,True,True,0.5595236551039616,
91,LEFT,2,28,True,False,True,True,0.7822221502221192,
92,LEFT,2,29,True,False,True,True,0.5572892021027605,
93,LEFT,2,30,True,False,True,True,0.5347773075331914,
94,LEFT,3,0,True,False,False,True,0.5398499280335877,
95,LEFT,3,1,True,False,True,False,25.99748046593982,
96,LEFT,3,2,True,False,True,False,32.934427836110906,
97,LEFT,3,3,True,False,True,False,32.9025461276308,
98,LEFT,3,4,True,False,True,False,1.9894198026189955,
99,LEFT,3,5,True,False,True,False,23.170431411934707,
100,LEFT,3,6,True,False,True,False,32.97874788645356,
101,LEFT,3,7,True,False,True,False,32.86338392167414,
102,LEFT,3,8,True,False,True,False,32.9430922568645,
103,LEFT,3,9,True,False,True,False,32.93999270243876,
104,LEFT,3,10,True,False,True,False,32.784564813964785,
105,LEFT,3,11,True,False,True,True,1.09921110814178,
106,LEFT,3,12,True,False,True,False,26.256557001634047,
107,LEFT,3,13,True,False,True,True,1.1263621948297164,
108,LEFT,3,14,True,False,True,False,1.729167334431394,
109,LEFT,3,15,True,False,True,False,1.6336853881717335,
110,LEFT,3,16,True,False,True,True,1.0272836757275228,
111,LEFT,3,17,True,False,True,True,1.1040330953548274,
112,LEFT,3,18,True,False,True,True,1.130815620114598,
113,LEFT,3,19,True,False,True,True,1.1024564973076312,
114,LEFT,3,20,True,False,True,True,1.1317359712464035,
115,LEFT,3,21,True,False,True,True,1.1359849787428813,
116,LEFT,3,22,True,False,True,True,1.030526337645803,
117,LEFT,3,23,True,False,True,True,1.050046897376691,
118,LEFT,3,24,True,False,True,True,0.8174377401641314,
119,LEFT,3,25,True,False,True,True,0.8169608961301207,
120,LEFT,3,26,True,False,True,True,0.7372316095675207,
121,LEFT,3,27,True,False,True,True,0.7224308354415903,
122,LEFT,3,28,True,False,True,True,0.5927547526699566,
123,LEFT,3,29,True,False,True,True,0.5496387186652474,
124,LEFT,3,30,True,False,True,True,0.5296977085282802,
125,LEFT,4,0,True,False,False,True,0.5432158873752011,
126,LEFT,4,1,True,False,True,True,1.180589376587339,
127,LEFT,4,2,True,False,True,False,2.0113736312644384,
128,LEFT,4,3,True,False,True,False,23.338661341115223,
129,LEFT,4,4,True,False,True,False,32.86261189314852,
130,LEFT,4,5,True,False,True,False,32.838394582263106,
131,LEFT,4,6,True,False,True,False,32.79502843795113,
132,LEFT,4,7,True,False,True,False,32.98319248014856,
133,LEFT,4,8,True,False,True,False,32.88709375129512,
134,LEFT,4,9,True,False,True,False,32.918192770688805,
135,LEFT,4,10,True,False,True,False,32.44820280996024,
136,LEFT,4,11,True,False,True,False,1.741615605855434,
137,LEFT,4,12,True,False,True,False,1.740773677054588,
138,LEFT,4,13,True,False,True,True,1.161018290553303,
139,LEFT,4,14,True,False,True,False,1.731413517924002,
140,LEFT,4,15,True,False,True,True,1.053757820286807,
141,LEFT,4,16,True,False,True,True,1.0735352818200927,
142,LEFT,4,17,True,False,True,True,1.0713117487967754,
143,LEFT,4,18,True,False,True,True,1.054916417249904,
144,LEFT,4,19,True,False,True,True,1.1860305071893378,
145,LEFT,4,20,True,False,True,True,1.1347865171420115,
146,LEFT,4,21,True,False,True,True,1.1736475406334759,
147,LEFT,4,22,True,False,True,True,1.0903658947440928,
148,LEFT,4,23,True,False,True,True,1.0316239454161833,
149,LEFT,4,24,True,False,True,True,0.8070499089013716,
150,LEFT,4,25,True,False,True,True,0.7746825155858131,
151,LEFT,4,26,True,False,True,True,0.5667890693700524,
152,LEFT,4,27,True,False,True,True,0.5612670995517647,
153,LEFT,4,28,True,False,True,True,0.5441386707176658,
154,LEFT,4,29,True,False,True,True,0.5542443260020121,
155,LEFT,4,30,True,False,True,True,0.5650521880023469,
156,LEFT,5,0,True,False,False,True,0.5415949642867064,
157,LEFT,5,1,True,False,True,False,3.4646795018803958,
158,LEFT,5,2,True,False,True,False,23.094371519002124,
159,LEFT,5,3,True,False,True,False,32.956476571827984,
160,LEFT,5,4,True,False,True,False,32.96266852619424,
161,LEFT,5,5,True,False,True,False,32.883319896960195,
162,LEFT,5,6,True,False,True,False,32.86497217170741,
163,LEFT,5,7,True,False,True,False,32.80788416754417,
164,LEFT,5,8,True,False,True,False,32.93297921100111,
165,LEFT,5,9,True,False,True,False,1.7397561683051548,
166,LEFT,5,10,True,False,True,False,1.7735447729659308,
167,LEFT,5,11,True,False,True,True,1.0394257854043538,
168,LEFT,5,12,True,False,True,False,1.7380994491955548,
169,LEFT,5,13,True,False,True,True,1.096741791299439,
170,LEFT,5,14,True,False,True,True,1.125989770777199,
171,LEFT,5,15,True,False,True,True,1.1001774623811023,
172,LEFT,5,16,True,False,True,True,1.183182216091509,
173,LEFT,5,17,True,False,True,True,1.1566323808427321,
174,LEFT,5,18,True,False,True,True,1.1345970264758731,
175,LEFT,5,19,True,False,True,True,1.1122836553033828,
176,LEFT,5,20,True,False,True,True,1.083304102710628,
177,LEFT,5,21,True,False,True,True,1.0325509281357916,
178,LEFT,5,22,True,False,True,False,1.2411659092928669,
179,LEFT,5,23,True,False,True,True,0.8357058828272174,
180,LEFT,5,24,True,False,True,True,0.7261386170730165,
181,LEFT,5,25,True,False,True,True,0.7107442672656643,
182,LEFT,5,26,True,False,True,True,0.5697999377109385,
183,LEFT,5,27,True,False,True,True,0.5274703108165337,
184,LEFT,5,28,True,False,True,True,0.5551902285089391,
185,LEFT,5,29,True,False,True,True,0.5663708709159011,
186,LEFT,5,30,True,False,True,True,0.5587765820704345,
187,LEFT,6,0,True,False,False,True,0.5520798544989207,
188,LEFT,6,1,True,False,True,False,26.148540006650215,
189,LEFT,6,2,True,False,True,False,32.84822563131922,
190,LEFT,6,3,True,False,True,False,32.958116165374754,
191,LEFT,6,4,True,False,True,False,32.9142941416219,
192,LEFT,6,5,True,False,True,False,32.81674059568585,
193,LEFT,6,6,True,False,True,False,32.88666608475798,
194,LEFT,6,7,True,False,True,False,32.809820487720756,
195,LEFT,6,8,True,False,True,False,32.7433662142168,
196,LEFT,6,9,True,False,True,False,1.7427964347634848,
197,LEFT,6,10,True,False,True,False,1.302070227339428,
198,LEFT,6,11,True,False,True,False,1.7357225818342894,
199,LEFT,6,12,True,False,True,False,1.6669899391851553,
200,LEFT,6,13,True,False,True,True,1.125544109344507,
201,LEFT,6,14,True,False,True,True,1.093206755535043,
202,LEFT,6,15,True,False,True,True,1.0571122966121995,
203,LEFT,6,16,True,False,True,True,1.1181491293025838,
204,LEFT,6,17,True,False,True,True,1.0321855972407283,
205,LEFT,6,18,True,False,True,True,1.0567619142251055,
206,LEFT,6,19,True,False,True,True,1.1172364093157487,
207,LEFT,6,20,True,False,True,True,1.0663611753076137,
208,LEFT,6,21,True,False,True,True,0.9451638568989871,
209,LEFT,6,22,True,False,True,True,0.8113857280200177,
210,LEFT,6,23,True,False,True,True,0.7861442478846766,
211,LEFT,6,24,True,False,True,True,0.7371257701809617,
212,LEFT,6,25,True,False,True,True,0.5632732306227479,
213,LEFT,6,26,True,False,True,True,0.539628823938361,
214,LEFT,6,27,True,False,True,True,0.5224029661654678,
215,LEFT,6,28,True,False,True,True,0.5270822309115789,
216,LEFT,6,29,True,False,True,True,0.5473990294212415,
217,LEFT,6,30,True,False,False,True,0.5500184026386484,
218,LEFT,7,0,True,False,False,True,0.5402229512617321,
219,LEFT,7,1,True,False,True,False,26.040488687233932,
220,LEFT,7,2,True,False,True,False,32.79130479153201,
221,LEFT,7,3,True,False,True,False,32.85126609468745,
222,LEFT,7,4,True,False,True,False,32.85341975596539,
223,LEFT,7,5,True,False,True,False,32.90107318052207,
224,LEFT,7,6,True,False,True,False,32.843682559996516,
225,LEFT,7,7,True,False,True,False,1.7670507443852779,
226,LEFT,7,8,True,False,True,False,1.7595099245391819,
227,LEFT,7,9,True,False,True,False,1.7157914192683905,
228,LEFT,7,10,True,False,True,True,1.1362056926690283,
229,LEFT,7,11,True,False,True,False,1.3054960788743737,
230,LEFT,7,12,True,False,True,True,1.0712700932211674,
231,LEFT,7,13,True,False,True,True,1.1005169428028425,
232,LEFT,7,14,True,False,True,True,1.0810069263409858,
233,LEFT,7,15,True,False,True,True,1.3353153122801846,
234,LEFT,7,16,True,False,True,True,1.0758103488249193,
235,LEFT,7,17,True,False,True,True,1.0307576234286107,
236,LEFT,7,18,True,False,True,True,1.128290493990231,
237,LEFT,7,19,True,False,True,True,1.067891136974634,
238,LEFT,7,20,True,False,True,True,0.8530165093704772,
239,LEFT,7,21,True,False,True,True,0.8225438452604357,
240,LEFT,7,22,True,False,True,True,0.7514340565113142,
241,LEFT,7,23,True,False,True,True,0.721104897062416,
242,LEFT,7,24,True,False,True,True,0.5646820662429957,
243,LEFT,7,25,True,False,True,True,0.5364015290441148,
244,LEFT,7,26,True,False,True,True,0.5610394567029527,
245,LEFT,7,27,True,False,True,True,0.5357574124383808,
246,LEFT,7,28,True,False,True,True,0.524229823975311,
247,LEFT,7,29,True,False,False,True,0.517230401955109,
248,LEFT,7,30,True,False,False,True,0.5516437662256398,
249,LEFT,8,0,True,False,False,True,0.5444972042398153,
250,LEFT,8,1,True,False,True,False,26.200583674849657,
251,LEFT,8,2,True,False,True,False,32.909616208735876,
252,LEFT,8,3,True,False,True,False,32.892193075717245,
253,LEFT,8,4,True,False,True,False,32.952890934137365,
