tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,-0.33229638475792245,33,17.354112707383692,2.6245126724243164,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.71576690673828,54.16748046875,-75.31633758544922,54.433868408203125,8,RIGHT,True,1.9792802822698592
2,-0.4594178761970404,36,17.221665507368346,1.5507811307907104,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-73.8446273803711,54.05777359008789,-75.46609497070312,54.42532730102539,8,RIGHT,True,1.9792802822698592
3,-0.458790378342423,39,17.05762017920494,1.763731837272644,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.0084457397461,54.04777526855469,-75.61585235595703,54.416786193847656,8,RIGHT,True,1.9792802822698592
4,-0.4465474385854351,43,16.87477891350348,1.9305092096328735,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.19122314453125,54.042903900146484,-75.8155288696289,54.405399322509766,8,RIGHT,True,1.9792802822698592
5,-0.432893408587591,47,16.676607605103484,2.0739927291870117,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.38935089111328,54.038475036621094,-76.01520538330078,54.39400863647461,8,RIGHT,True,1.9792802822698592
6,-0.4179247143649169,51,16.464540292199278,2.20747971534729,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.60139465332031,54.03449249267578,-76.21487426757812,54.38262176513672,8,RIGHT,True,1.9792802822698592
7,-0.4013855249326435,56,16.239315265648454,2.3351659774780273,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.82662200927734,54.03114700317383,-76.46446990966797,54.368385314941406,8,RIGHT,True,1.9792802822698592
8,-0.38308271614776057,60,16.001456943570805,2.458421468734741,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.06451416015625,54.02860641479492,-76.66414642333984,54.356998443603516,8,RIGHT,True,1.9792802822698592
9,-0.36280632962293197,65,15.751353793301677,2.577587842941284,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.31468963623047,54.02706527709961,-76.91374206542969,54.3427619934082,8,RIGHT,True,1.9792802822698592
10,-0.3402891437132681,70,15.490521402545784,2.662748098373413,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.57563781738281,54.026649475097656,-77.16333770751953,54.32852554321289,8,RIGHT,True,1.9792802822698592
11,-0.321839324022327,76,15.220475524803607,2.75911808013916,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.84574127197266,54.02415084838867,-77.46285247802734,54.31144332885742,8,RIGHT,True,1.9792802822698592
12,-0.3048071254322628,81,14.940287249836329,2.8616931438446045,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.12598419189453,54.02132034301758,-77.71244049072266,54.29720687866211,8,RIGHT,True,1.9792802822698592
13,-0.28661246150659975,87,14.649727866907844,2.96461820602417,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.4166259765625,54.019081115722656,-78.01195526123047,54.28012466430664,8,RIGHT,True,1.9792802822698592
