run_id,command_tested,tick_delay,command_duration,junction_command_applied,early_command_applied,command_released,success,max_cte,waypoint_deviation
1,RIGHT,0,0,True,False,False,True,0.15164225979745832,
2,RIGHT,0,1,True,False,True,False,27.577364272935895,
3,RIGHT,0,2,True,False,True,False,35.812366146247875,
4,RIGHT,0,3,True,False,True,False,35.833801572035064,
5,RIGHT,0,4,True,False,True,False,35.838714770461074,
6,RIGHT,0,5,True,False,True,False,35.84213297563514,
7,RIGHT,0,6,True,False,True,False,35.88673720007131,
8,RIGHT,0,7,True,False,True,False,35.960549372403,
9,RIGHT,0,8,True,False,True,False,35.92616002859666,
10,RIGHT,0,9,True,False,True,False,35.82621962966901,
11,RIGHT,0,10,True,False,True,False,35.809687744597454,
12,RIGHT,0,11,True,False,True,False,35.47978710527215,
13,RIGHT,0,12,True,False,True,False,35.618870478126354,
14,RIGHT,0,13,True,False,True,False,6.855745849642473,
15,RIGHT,0,14,True,False,True,False,7.715777927780254,
16,RIGHT,0,15,True,False,True,False,6.838084377868487,
17,RIGHT,0,16,True,False,True,False,7.658256932170894,
18,RIGHT,0,17,True,False,True,False,7.72160896325156,
19,RIGHT,0,18,True,False,True,True,1.1334732908701637,
20,RIGHT,0,19,True,False,True,True,0.6339443755808212,
21,RIGHT,0,20,True,False,True,True,0.44769552628789394,
22,RIGHT,0,21,True,False,True,True,0.46939331757136893,
23,RIGHT,0,22,True,False,True,True,0.4602417399786693,
24,RIGHT,0,23,True,False,True,True,0.4633621585505429,
25,RIGHT,0,24,True,False,True,True,0.45334065137836776,
26,RIGHT,0,25,True,False,True,True,0.46848741555257073,
27,RIGHT,0,26,True,False,True,True,0.47297423553253576,
28,RIGHT,0,27,True,False,True,True,0.4875640258182517,
29,RIGHT,0,28,True,False,False,True,0.47177574113726395,
30,RIGHT,0,29,True,False,False,True,0.46583547204494447,
31,RIGHT,0,30,True,False,False,True,0.44926610167087705,
32,RIGHT,1,0,True,False,False,True,0.4645532271385048,
33,RIGHT,1,1,True,False,True,False,11.177702431162334,
34,RIGHT,1,2,True,False,True,False,25.347265535567654,
35,RIGHT,1,3,True,False,True,False,35.80532089191035,
36,RIGHT,1,4,True,False,True,False,35.84505720643159,
37,RIGHT,1,5,True,False,True,False,35.85853692925501,
38,RIGHT,1,6,True,False,True,False,36.00967794991774,
39,RIGHT,1,7,True,False,True,False,35.85050249945638,
40,RIGHT,1,8,True,False,True,False,35.909276876908194,
41,RIGHT,1,9,True,False,True,False,35.81096866561421,
42,RIGHT,1,10,True,False,True,False,35.84690348733392,
43,RIGHT,1,11,True,False,True,False,35.50872318325388,
44,RIGHT,1,12,True,False,True,False,35.58607034344946,
45,RIGHT,1,13,True,False,True,False,7.125997863543576,
46,RIGHT,1,14,True,False,True,False,7.682200507290543,
47,RIGHT,1,15,True,False,True,False,7.757327290701872,
48,RIGHT,1,16,True,False,True,False,7.663494703831973,
49,RIGHT,1,17,True,False,True,True,1.236381838042511,
50,RIGHT,1,18,True,False,True,True,0.661516736752944,
51,RIGHT,1,19,True,False,True,True,0.4873326544656795,
52,RIGHT,1,20,True,False,True,True,0.46676963514339914,
53,RIGHT,1,21,True,False,True,True,0.46448337006017787,
54,RIGHT,1,22,True,False,True,True,0.4408282078867906,
55,RIGHT,1,23,True,False,True,True,0.46106568973538087,
56,RIGHT,1,24,True,False,True,True,0.5111348749338912,
57,RIGHT,1,25,True,False,True,True,0.45911048216444084,
58,RIGHT,1,26,True,False,True,True,0.4609718578081539,
59,RIGHT,1,27,True,False,False,True,0.46952576450988553,
60,RIGHT,1,28,True,False,False,True,0.47217696548164634,
61,RIGHT,1,29,True,False,False,True,0.466128639781714,
62,RIGHT,1,30,True,False,False,True,0.48381121511342917,
63,RIGHT,2,0,True,False,False,True,0.6615754640304002,
64,RIGHT,2,1,True,False,True,False,21.754529090345194,
65,RIGHT,2,2,True,False,True,False,25.4648161563235,
66,RIGHT,2,3,True,False,True,False,35.8481259145828,
67,RIGHT,2,4,True,False,True,False,35.83625626722535,
68,RIGHT,2,5,True,False,True,False,35.93791083986661,
69,RIGHT,2,6,True,False,True,False,35.977803150630926,
70,RIGHT,2,7,True,False,True,False,35.90956874334204,
71,RIGHT,2,8,True,False,True,False,35.820693641254316,
72,RIGHT,2,9,True,False,True,False,35.66190910702442,
73,RIGHT,2,10,True,False,True,False,35.51443061489539,
74,RIGHT,2,11,True,False,True,False,35.62745831792675,
75,RIGHT,2,12,True,False,True,False,8.075754215840476,
76,RIGHT,2,13,True,False,True,False,7.702672127049991,
77,RIGHT,2,14,True,False,True,False,7.654705453431946,
78,RIGHT,2,15,True,False,True,False,7.682709507467637,
79,RIGHT,2,16,True,False,True,True,1.7069865140983753,
80,RIGHT,2,17,True,False,True,True,1.5121534563364796,
81,RIGHT,2,18,True,False,True,True,0.45129683312373536,
82,RIGHT,2,19,True,False,True,True,0.4729688535049514,
83,RIGHT,2,20,True,False,True,True,0.5804299763953965,
84,RIGHT,2,21,True,False,True,True,0.651492895391761,
85,RIGHT,2,22,True,False,True,True,0.6389036736082608,
86,RIGHT,2,23,True,False,True,True,0.5361507937998025,
87,RIGHT,2,24,True,False,True,True,0.4442065551921751,
88,RIGHT,2,25,True,False,True,True,0.7118913704282497,
89,RIGHT,2,26,True,False,True,True,0.5896396318502677,
90,RIGHT,2,27,True,False,False,True,0.6567561424779477,
91,RIGHT,2,28,True,False,False,True,0.6526377652874106,
92,RIGHT,2,29,True,False,False,True,0.5340706595173607,
93,RIGHT,2,30,True,False,False,True,0.6840871038254551,
94,RIGHT,3,0,True,False,False,True,0.7159748913142671,
95,RIGHT,3,1,True,False,True,False,28.34173287435418,
96,RIGHT,3,2,True,False,True,False,35.83972001665193,
97,RIGHT,3,3,True,False,True,False,35.811660140676,
98,RIGHT,3,4,True,False,True,False,35.84989184198235,
99,RIGHT,3,5,True,False,True,False,35.82763882157042,
100,RIGHT,3,6,True,False,True,False,35.749153002203386,
101,RIGHT,3,7,True,False,True,False,35.946391666269655,
102,RIGHT,3,8,True,False,True,False,35.808182056688686,
103,RIGHT,3,9,True,False,True,False,35.774830581004814,
104,RIGHT,3,10,True,False,True,False,35.60895328323607,
105,RIGHT,3,11,True,False,True,False,35.602023081434275,
106,RIGHT,3,12,True,False,True,False,7.156063723102682,
107,RIGHT,3,13,True,False,True,False,7.82316015581653,
108,RIGHT,3,14,True,False,True,False,7.822265921431611,
109,RIGHT,3,15,True,False,True,False,7.841575600275276,
110,RIGHT,3,16,True,False,True,True,1.6286559434968342,
111,RIGHT,3,17,True,False,True,True,1.198175419526509,
112,RIGHT,3,18,True,False,True,True,0.8919943128374884,
113,RIGHT,3,19,True,False,True,True,0.826955527891128,
114,RIGHT,3,20,True,False,True,True,0.6816752281924953,
115,RIGHT,3,21,True,False,True,True,0.9024620230560203,
116,RIGHT,3,22,True,False,True,True,0.6520725316676304,
117,RIGHT,3,23,True,False,True,True,0.6905168789323061,
118,RIGHT,3,24,True,False,True,True,0.8033461696270536,
119,RIGHT,3,25,True,False,True,True,0.7836112986999437,
120,RIGHT,3,26,True,False,False,True,0.7568233103151301,
121,RIGHT,3,27,True,False,False,True,0.8617285894824637,
122,RIGHT,3,28,True,False,False,True,0.7087412782518023,
123,RIGHT,3,29,True,False,False,True,0.9021390359267986,
124,RIGHT,3,30,True,False,False,True,0.810238317345261,
125,RIGHT,4,0,True,False,False,True,1.0688628580933885,
126,RIGHT,4,1,True,False,True,False,21.751371756007696,
127,RIGHT,4,2,True,False,True,False,25.577932603572492,
128,RIGHT,4,3,True,False,True,False,35.828041660542304,
129,RIGHT,4,4,True,False,True,False,35.87818238062098,
130,RIGHT,4,5,True,False,True,False,35.927205914149724,
131,RIGHT,4,6,True,False,True,False,35.92053138405825,
132,RIGHT,4,7,True,False,True,False,35.719267851150775,
133,RIGHT,4,8,True,False,True,False,35.78875723710675,
134,RIGHT,4,9,True,False,True,False,35.81882545146216,
135,RIGHT,4,10,True,False,True,False,35.525314322837914,
136,RIGHT,4,11,True,False,True,False,7.797649559921414,
137,RIGHT,4,12,True,False,True,False,7.851451985305111,
138,RIGHT,4,13,True,False,True,False,7.745716200135282,
139,RIGHT,4,14,True,False,True,False,7.723878764265792,
140,RIGHT,4,15,True,False,True,False,7.832597077204502,
141,RIGHT,4,16,True,False,True,True,1.144336070065832,
142,RIGHT,4,17,True,False,True,True,1.0529823537050798,
143,RIGHT,4,18,True,False,True,True,1.0635095121418947,
144,RIGHT,4,19,True,False,True,True,1.0996602464136347,
145,RIGHT,4,20,True,False,True,True,1.0439403446758428,
146,RIGHT,4,21,True,False,True,True,1.1262226592026783,
147,RIGHT,4,22,True,False,True,True,1.19641065962149,
148,RIGHT,4,23,True,False,True,True,1.1517589938860104,
149,RIGHT,4,24,True,False,True,True,1.178242050893352,
150,RIGHT,4,25,True,False,True,True,1.1999370205820408,
151,RIGHT,4,26,True,False,False,True,1.1442686318585715,
152,RIGHT,4,27,True,False,False,True,1.079418382237966,
153,RIGHT,4,28,True,False,False,True,1.1490341099462482,
154,RIGHT,4,29,True,False,False,True,1.18646847530769,
155,RIGHT,4,30,True,False,False,True,1.187321177695066,
156,RIGHT,5,0,True,False,False,True,1.147944306976883,
157,RIGHT,5,1,True,False,True,False,27.750638977618852,
158,RIGHT,5,2,True,False,True,False,35.83268498337922,
159,RIGHT,5,3,True,False,True,False,35.808482199251074,
160,RIGHT,5,4,True,False,True,False,35.82378464756143,
161,RIGHT,5,5,True,False,True,False,35.77211169275709,
162,RIGHT,5,6,True,False,True,False,35.78579496101387,
163,RIGHT,5,7,True,False,True,False,35.756213263004014,
164,RIGHT,5,8,True,False,True,False,35.77180861527659,
165,RIGHT,5,9,True,False,True,False,35.63711476904479,
166,RIGHT,5,10,True,False,True,False,7.816781145079013,
167,RIGHT,5,11,True,False,True,False,7.898064972549439,
168,RIGHT,5,12,True,False,True,False,7.836964372979368,
169,RIGHT,5,13,True,False,True,False,7.829710299682456,
170,RIGHT,5,14,True,False,True,True,1.8119253933568331,
171,RIGHT,5,15,True,False,True,True,1.4322765951909562,
172,RIGHT,5,16,True,False,True,True,1.1210892835506305,
173,RIGHT,5,17,True,False,True,True,1.1066500614624482,
174,RIGHT,5,18,True,False,True,True,1.1883564320892384,
175,RIGHT,5,19,True,False,True,True,1.0905537744669753,
176,RIGHT,5,20,True,False,True,True,1.042716891356035,
177,RIGHT,5,21,True,False,True,True,1.101699181684261,
178,RIGHT,5,22,True,False,True,True,1.1824419131806367,
179,RIGHT,5,23,True,False,True,True,0.9345808492817818,
180,RIGHT,5,24,True,False,True,True,1.12745947468984,
181,RIGHT,5,25,True,False,False,True,1.1508787337930202,
182,RIGHT,5,26,True,False,False,True,1.0031167473772815,
183,RIGHT,5,27,True,False,False,True,1.1299108531340756,
184,RIGHT,5,28,True,False,False,True,1.0591900489599315,
185,RIGHT,5,29,True,False,False,True,0.95061389271201,
186,RIGHT,5,30,True,False,False,True,1.1019635039057976,
187,RIGHT,6,0,True,False,False,True,1.2212258049512594,
188,RIGHT,6,1,True,False,True,False,28.054949006439784,
189,RIGHT,6,2,True,False,True,False,35.79843989645272,
190,RIGHT,6,3,True,False,True,False,35.8217664511998,
191,RIGHT,6,4,True,False,True,False,35.80467436273479,
192,RIGHT,6,5,True,False,True,False,35.9114734813571,
193,RIGHT,6,6,True,False,True,False,35.81394697497595,
194,RIGHT,6,7,True,False,True,False,35.52335637226202,
195,RIGHT,6,8,True,False,True,False,35.66108598712603,
