tick,cte,waypoint_idx,distance_to_junction,speed,true_command,injected_command,approaching_junction,in_junction,passed_junction,junction_command_detected,junction_command_applied,early_command_applied,command_released,tick_counter,duration_counter,vehicle_x,vehicle_y,waypoint_x,waypoint_y,tick_delay,test_command,success,max_cte_during_run
1,0.011270625787413658,40,16.908512881425413,5.018790245056152,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.17800903320312,54.51102828979492,-75.76560974121094,54.40824508666992,3,LEFT,True,0.7892180403948182
2,0.005388306481172458,52,16.399381952048323,5.148446559906006,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-74.68624877929688,54.48090744018555,-76.2647933959961,54.3797721862793,3,LEFT,True,0.7892180403948182
3,0.0006172888944620966,62,15.892543348080006,5.077600479125977,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.19202423095703,54.4478645324707,-76.76398468017578,54.35130310058594,3,LEFT,True,0.7892180403948182
4,-0.0016438888919987603,72,15.382783277943757,5.02083158493042,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-75.70083618164062,54.41672897338867,-77.26317596435547,54.32283020019531,3,LEFT,True,0.7892180403948182
5,-0.006670678864200341,82,14.876653725661608,5.097279071807861,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.20603942871094,54.38607406616211,-77.76235961914062,54.29436111450195,3,LEFT,True,0.7892180403948182
6,-0.009295264030538274,92,14.367394134662996,5.120216369628906,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-76.71428680419922,54.35382080078125,-78.26155090332031,54.26588821411133,3,LEFT,True,0.7892180403948182
7,-0.010382409944389596,103,13.859025315814199,5.044228553771973,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.2216567993164,54.321815490722656,-78.81066131591797,54.23457336425781,3,LEFT,True,0.7892180403948182
8,-0.01509324700888668,113,13.351324797835307,5.1088457107543945,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-77.7284164428711,54.29084014892578,-79.30984497070312,54.20610046386719,3,LEFT,True,0.7892180403948182
9,-0.017718676665959724,123,12.841194240770006,5.1252121925354,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.23753356933594,54.25850296020508,-79.80903625488281,54.17763137817383,3,LEFT,True,0.7892180403948182
10,-0.018289943487390218,133,12.334736604682481,5.122515678405762,LANEFOLLOW,LANEFOLLOW,False,False,False,False,False,False,False,0,0,-78.74298095703125,54.2263069152832,-80.3082275390625,54.1491584777832,3,LEFT,True,0.7892180403948182
